STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,median-decimal,clean-income-tracts_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-tracts_Annotation of Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,NUMPOINTS
"47","037","017000","47037017000","170",Census Tract 170,G5020,S,"1433623","0","+36.1286946","-086.7851325",116125.000,"116125",null,"38348",null,1
"47","037","018904","47037018904","189.04",Census Tract 189.04,G5020,S,"2582791","0","+36.0657785","-086.7267063",65023.000,"65023",null,"10170",null,0
"47","037","018905","47037018905","189.05",Census Tract 189.05,G5020,S,"1462431","0","+36.0593606","-086.7364091",54044.000,"54044",null,"19543",null,0
"47","037","018302","47037018302","183.02",Census Tract 183.02,G5020,S,"49994337","13533","+36.0400075","-087.0145261",105490.000,"105490",null,"4042",null,0
"47","037","015630","47037015630","156.30",Census Tract 156.30,G5020,S,"12630202","0","+36.0300305","-086.6145102",55805.000,"55805",null,"5708",null,0
"47","037","010103","47037010103","101.03",Census Tract 101.03,G5020,S,"48020412","61097","+36.3444054","-086.8608396",68019.000,"68019",null,"13769",null,0
"47","037","010202","47037010202","102.02",Census Tract 102.02,G5020,S,"68394934","77571","+36.3619781","-086.7746355",88673.000,"88673",null,"9768",null,0
"47","037","010104","47037010104","101.04",Census Tract 101.04,G5020,S,"65057849","251504","+36.2940028","-086.8777483",102675.000,"102675",null,"37178",null,0
"47","037","010106","47037010106","101.06",Census Tract 101.06,G5020,S,"21616474","6845","+36.2610013","-086.8023491",71656.000,"71656",null,"4742",null,0
"47","037","013300","47037013300","133",Census Tract 133,G5020,S,"2769694","0","+36.1597840","-086.8530495",83214.000,"83214",null,"21784",null,0
"47","037","018102","47037018102","181.02",Census Tract 181.02,G5020,S,"7388654","0","+36.1276381","-086.8678660",102878.000,"102878",null,"11217",null,1
"47","037","011300","47037011300","113",Census Tract 113,G5020,S,"4232038","0","+36.2021449","-086.7607811",63427.000,"63427",null,"8313",null,0
"47","037","017901","47037017901","179.01",Census Tract 179.01,G5020,S,"4676677","0","+36.1082810","-086.8271572",117500.000,"117500",null,"25129",null,0
"47","037","015620","47037015620","156.20",Census Tract 156.20,G5020,S,"3501056","0","+36.0696885","-086.6150441",54391.000,"54391",null,"4948",null,0
"47","037","019105","47037019105","191.05",Census Tract 191.05,G5020,S,"2176555","0","+36.0513279","-086.7242603",52194.000,"52194",null,"16949",null,0
"47","037","019106","47037019106","191.06",Census Tract 191.06,G5020,S,"1852817","0","+36.0449466","-086.7359418",68156.000,"68156",null,"6103",null,0
"47","037","015502","47037015502","155.02",Census Tract 155.02,G5020,S,"5227801","0","+36.1523916","-086.6522733",49500.000,"49500",null,"10433",null,0
"47","037","017100","47037017100","171",Census Tract 171,G5020,S,"1675202","0","+36.1212814","-086.7805662",83606.000,"83606",null,"9505",null,0
"47","037","016900","47037016900","169",Census Tract 169,G5020,S,"2422963","0","+36.1247952","-086.8014922",106500.000,"106500",null,"25023",null,2
"47","147","080603","47147080603","806.03",Census Tract 806.03,G5020,S,"84086120","31132","+36.4192592","-086.8752555",,,,,,0
"47","037","017902","47037017902","179.02",Census Tract 179.02,G5020,S,"4111686","0","+36.0961182","-086.8268546",116534.000,"116534",null,"24161",null,0
